edgeid	co2 (g)	co (g)	nox (g)	vocs (g)	pm10 (g)	pm25 (g)	ghg_cost (€/veh)	nox_cost (€/veh)	noise_cost (€/veh)	tc_cost (€/veh)	rc_cost (€/veh)	emissions_indicator (€/veh)	eco_indicator (€/veh)	totalvehicles	totalrouting	speed (km/h)	ttime (s)	length (km)
52704506	1662.84760934106	10.1383597588018	5.08656686883204	1.96324925194294	0.469833754230756	0.335933702577266	0.00022366358377486	9.40350685190622e-06	0.00197362800102526	0.043368	0	0.000233067090626766	0.045574695091652	481	0	39.492	1.64721969006381	0.01807
536714314#0	605.874687112971	3.8382239380443	1.70627749954481	0.641826601390776	0.115767305739316	0.0941500591808621	0.000707527981968596	0	0	0.056856	0	0.000707527981968596	0.0575635279819686	59	0	0.396	215.363636363636	0.02369
536714314#3	4649.24471602554	25.8836460781087	14.6983597316145	5.23146950734127	1.3409494872809	1.02401246546182	0.00038165189214323	0	0	0.064488	0	0.00038165189214323	0.0648696518921432	781	0	30.024	3.22182254196643	0.02687
546881507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04974
546881508#0	70.5955350435235	0.39968738791344	0.222426706964735	0.0803968903189648	0.0204234163442615	0.0153340346315789	0.000205638603927563	0	0	0	0	0.000205638603927563	0.000205638603927563	22	0	32.868	1.66922234392114	0.01524
546881508#1	297.857126456325	1.68681910238688	0.938397429949737	0.339266987181818	0.0861696613812054	0.0646818892467589	0.000867640732239497	0	0	0	0	0.000867640732239497	0.000867640732239497	22	0	32.904	7.03938730853392	0.06434
546881508#2	428.844091004057	2.40472553920368	1.35419980533794	0.485302461572753	0.12399304927125	0.0939247808666522	0.00124908037735803	0	0	0	0	0.00124908037735803	0.00124908037735803	22	0	31.428	10.3413516609393	0.09028
546881510#0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02815
546881510#1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01199
546881512	8025.72256990809	55.1699748255264	22.5538694385878	9.94954406127421	2.1165254934396	1.42010438278648	0.00129463083602731	0.000172633300290597	0.00917675222768985	0.258576	0.0354895745455489	0.00146726413631791	0.304709590909557	412	0	46.296	8.37791601866252	0.10774
546881517#0	715.472169342461	4.42225360085328	2.07080821962705	0.761445005199894	0.147741144125854	0.12043657727572	0.000275866317478669	0	0	0.024216	0	0.000275866317478669	0.0244918663174787	177	0	3.744	9.70192307692308	0.01009
546881517#1	2093.97588889739	12.9632905417205	6.05089885013886	2.2278616471132	0.430340880557716	0.3507826111149	0.000807882258125989	0	0	0.070512	0	0.000807882258125989	0.071319882258126	177	0	3.528	29.9795918367347	0.02938
546881517#2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01018
546885675#2	226.452971935343	1.3550521986672	0.699046329150369	0.265181126188997	0.0645155047525158	0.0466346720337419	0.000663818318113016	0	0	0	0	0.000663818318113016	0.000663818318113016	22	0	38.16	4.9933962264151	0.05293
546885675#3	260.202213725377	1.853897579919	0.705278804597155	0.327211117256	0.0669629167238759	0.044119235168423	0.000793648426547938	0	0	0	0	0.000793648426547938	0.000793648426547938	22	0	48.06	4.93258426966292	0.06585
546885675#4	118.220696218333	0.84481215131676	0.319388664199013	0.148842363150926	0.0303603241490315	0.0199731491394634	0.000360886241356835	0	0	0	0	0.000360886241356835	0.000360886241356835	22	0	48.204	2.2352501867065	0.02993
546885675#5	122.084045747004	0.86468639011524	0.333034062678388	0.153161036681852	0.0315488981683322	0.0208488236400677	0.000371761864063259	0	0	0	0	0.000371761864063259	0.000371761864063259	22	0	47.772	2.32629992464205	0.03087
546885675#6	665.063568542623	3.88040518369812	2.01813425067298	0.715964757539778	0.160234352156054	0.130053380024354	0.00201512629819389	0	0	0	0	0.00201512629819389	0.00201512629819389	22	0	11.772	27.9235474006116	0.09131
546885677	231.020462690441	1.306564219257	0.728082089155927	0.262922360826148	0.0668367341608145	0.0502273851103752	0.000672917101973706	7.25852088644517e-05	0.00750311332503113	0	0	0.000745502310838158	0.00824861563586929	22	0	32.724	5.47304730473047	0.04975
547650634	4652.26828936286	26.5134599521512	14.6310964342661	5.31874898351185	1.34514107061965	1.00452269433342	0.00116046492377399	5.12436550307827e-05	0.0027264005116998	0.209208	0	0.00121170857880477	0.213146109090505	257	128	33.696	9.31303418803419	0.08717
547657329	18419.39621514	107.970626113612	55.715206782011	19.8085047707631	4.38728737426914	3.56407679783863	0.00142559329361139	0.000280284943757373	0.00606993761805743	0.152232	0	0.00170587823736876	0.160007815855426	863	140	11.088	20.5941558441558	0.06343
547657330	15.7910430226719	0.0960745682352	0.048356137244086	0.0186268404935538	0.00446609889487549	0.00319713506577654	0.000204250818464173	4.15434113623662e-05	0.0654794520547945	0	0	0.00024579422982654	0.0657252462846211	5	0	39.348	1.50777676120769	0.01648
