edgeid	co2 (g)	co (g)	nox (g)	vocs (g)	pm10 (g)	pm25 (g)	ghg_cost (€/veh)	nox_cost (€/veh)	noise_cost (€/veh)	tc_cost (€/veh)	rc_cost (€/veh)	emissions_indicator (€/veh)	eco_indicator (€/veh)	totalvehicles	totalrouting	speed (km/h)	ttime (s)	length (km)
706644343#2	311.796057576688	1.73042414252784	0.985982463340812	0.349787417896719	0.0897321914554134	0.0688201471500615	0.000540548947567301	0	0	0	0	0.000540548947567301	0.000540548947567301	37	0	29.232	4.61453201970443	0.03747
706644344	279.476201040408	1.5410449305405	0.881919370922853	0.309547354436617	0.0789466338233199	0.0616853453665989	0.000327495594234688	3.33773021845756e-05	0.00851805728518057	0.050184	0	0.000360872896419263	0.0590629301815998	55	0	25.38	2.96595744680851	0.02091
706644345	172.560196142214	0.96039121981824	0.545559535818314	0.194115630210214	0.0497616066696996	0.0380155027103438	0.000526835792729414	5.4003165331143e-05	0.00743639921722113	0	0	0.000580838958060558	0.00801723817528169	21	0	29.952	4.45192307692308	0.03704
708020422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01358
715176794	1014.46779116718	5.6838341877318	3.20399897126763	1.14733045228283	0.293267282899328	0.222340015630778	0.000176172033714534	2.92691694831847e-06	0.000766912920270755	0.03048	0	0.000179098950662852	0.0314260118709336	369	231	31.284	1.4614499424626	0.0127
715176795#0	5360.12808048878	32.4694620159336	15.8070324755543	5.72618744665586	1.17232765638016	0.9556934377553	0.000983486235548473	0	0	0.092856	0	0.000983486235548473	0.0938394862355485	369	231	6.48	21.4944444444444	0.03869
715176795#1	1502.08864989456	8.93455326036	4.49548324578444	1.610407839768	0.34482369373452	0.280717574359404	0.0002773274987457	0	0	0.028008	0	0.0002773274987457	0.0282853274987457	364	228	9	4.668	0.01167
715176796#0	386.907946330722	2.27162511990144	1.20415854984934	0.449142231634768	0.111028964814809	0.0812025469871499	0.000189933168529969	0	0	0.035712	0	0.000189933168529969	0.03590193316853	131	0	36.648	1.46168958742633	0.01488
715176796#1	396.111977122048	2.33583967561728	1.19309946466345	0.425435870071604	0.0929530932995355	0.0755862093031318	0.000195034839683993	0	0	0.020352	0	0.000195034839683993	0.020547034839684	136	0	10.224	2.98591549295775	0.00848
715176796#2	1511.61713243743	9.10762848241152	4.65125856377547	1.77553222232335	0.429396683264546	0.30912878874285	0.000717611961751217	0	0	0.138048	0	0.000717611961751217	0.138765611961751	136	0	38.664	5.35567970204842	0.05752
715176796#3	145.500148599455	0.988855324896	0.413114686136014	0.179561103212718	0.0386580736995037	0.0260895919119845	7.08945948160176e-05	0	0	0.01416	0	7.08945948160176e-05	0.014230894594816	136	0	45.72	0.464566929133858	0.0059
715176796#4	24.6469228550958	0.167862773328	0.0698480945709812	0.0304423932939532	0.00653945389098063	0.00440855536736028	1.20156397145606e-05	0	0	0.0024	0	1.20156397145606e-05	0.00241201563971456	136	0	45.828	0.0785545954438335	0.001
715176796#5	860.545890196696	5.9325463352256	2.41182430141078	1.06804602195953	0.226509161122207	0.151755921592546	0.000420842183071053	0	0	0.084048	0	0.000420842183071053	0.0844688421830711	136	0	46.44	2.71472868217054	0.03502
715176796#6	852.221064256771	5.90492313906432	2.37704473845331	1.0598436984508	0.223562230015736	0.149396300001813	0.000417324189929509	0	0	0.083328	0	0.000417324189929509	0.0837453241899295	136	0	46.692	2.6769468003084	0.03472
715176796#7	1305.57500597121	7.2296261175744	4.09862142129271	1.43365376135196	0.359694043658	0.284625424818483	0.000622526591143383	0	0	0.088488	0	0.000622526591143383	0.0891105265911434	136	0	22.176	5.98538961038961	0.03687
715176796#8	628.790271450911	3.880288497792	1.82281720314534	0.669392566085181	0.130457167479742	0.106353508407314	0.000315337188829498	0	0	0.02784	0	0.000315337188829498	0.0281553371888295	136	0	3.96	10.5454545454545	0.0116
715176796#9	666.969610092544	4.12685050944	1.92836044091109	0.70968507377408	0.137289661816627	0.111911391238359	0.00033483179821152	0	0	0.02928	0	0.00033483179821152	0.0296148317982115	136	0	3.6	12.2	0.0122
715176797#0	10.3975697206088	0.059878449648	0.0325919014079524	0.0119548888004871	0.00300057309294826	0.00222329873778643	1.30808693669798e-05	0	0	0.0024	0	1.30808693669798e-05	0.00241308086936698	51	0	34.848	0.103305785123967	0.001
715176797#1	204.659480900703	1.2078350862264	0.635606812107615	0.238156920049382	0.0586225127084051	0.0427341548571438	0.000258249588349297	0	0	0.048816	0	0.000258249588349297	0.0490742495883493	51	0	37.08	1.9747572815534	0.02034
724454815	288.784966568798	1.6864390496079	0.900672219080515	0.334373919589158	0.0830183084074209	0.0609284797660242	0.000276986265484445	2.77680347010125e-05	0.0155387446329994	0.051768	0	0.000304754300185458	0.0676114989331848	67	0	36.18	2.14626865671642	0.02157
724454816	145.016068980909	0.8110330546416	0.4581555653854	0.16378832108336	0.0419031969326857	0.0318292864763609	0.000138708094725796	1.42069921416215e-05	0.0132079329380495	0.023856	0	0.000152915086867417	0.0372168480249169	67	0	30.96	1.15581395348837	0.00994
724454817	157.627560389376	1.02152410668	0.464657904829494	0.19086102896784	0.0431236564045056	0.0298287845246899	0.00027909622657224	2.52408099053924e-05	0.0203998519067012	0.0231	0	0.000304337036477633	0.0438041889431789	37	0	43.2	1.925	0.0231
724454818	11.2792817033216	0.06749311056	0.0348184455376066	0.0132082727779072	0.00321342019102925	0.00232280282530703	1.2541438090176e-05	1.23450631006473e-06	0.00269248937175248	0.0024	0	1.37759444002407e-05	0.00510626531615272	58	0	38.16	0.0943396226415094	0.001
724454819	30.7559939451384	0.1850307083295	0.0947039242007016	0.0361019536997383	0.00874234493556507	0.00629926049078102	0.000180474024841287	1.76847480205354e-05	0.0141967621419676	0	0	0.000198158772861822	0.0143949209148294	11	0	38.556	1.34920634920635	0.01445
